15	-101	30	71	0
-28	-101	30	71	0
35	-101	30	71	0
-37	-101	30	71	0
-29	-101	30	71	0
39	-101	30	71	0
37	-100	30	71	0
11	-101	30	71	0
-36	-101	30	71	0
-36	-100	30	71	0
41	-101	30	71	0
-35	-101	30	70	0
2	-101	30	70	0
38	-101	30	70	0
41	-101	31	71	0
-42	-101	30	71	0
15	-101	30	71	0
22	-100	30	70	0
6	-101	30	70	0
-16	-101	30	70	0
-18	-101	30	70	0
-25	-101	30	70	0
11	-101	30	70	0
48	-101	30	70	0
-17	-102	35	70	0
-43	-103	38	70	0
-42	-104	40	70	0
-31	-103	37	70	0
-4	-102	35	70	0
-45	-104	41	70	0
-34	-102	34	70	0
-36	-104	40	70	0
-10	-106	44	70	0
16	-102	33	70	0
-48	-104	40	70	0
-4	-105	42	70	0
-15	-101	32	70	0
-26	-105	42	70	0
-14	-104	40	70	0
-17	-106	45	70	0
-32	-102	34	70	0
13	-101	31	70	0
-27	-106	45	70	0
27	-101	31	70	0
-14	-104	40	70	0
-9	-102	35	70	0
-31	-103	38	70	0
-7	-105	42	70	0
-44	-109	54	70	0
-46	-103	37	70	0
-5	-104	39	70	0
9	-102	34	70	0
-13	-107	46	70	0
23	-102	34	70	0
-44	-103	37	70	0
-16	-104	39	70	0
-42	-103	38	70	0
-22	-107	47	70	0
-10	-103	36	70	0
-40	-109	52	70	0
-22	-101	31	70	0
17	-102	33	70	0
-42	-103	36	70	0
-13	-102	33	70	0
-32	-107	49	70	0
-34	-106	46	70	0
-26	-104	39	70	0
-5	-104	40	70	0
-44	-107	47	70	0
-38	-102	34	70	0
8	-103	36	70	0
-37	-103	36	70	0
33	-101	31	70	0
-13	-103	37	70	0
-50	-109	53	70	0
-44	-104	40	70	0
-6	-105	41	70	0
-9	-106	45	70	0
-5	-102	35	70	0
-45	-109	54	70	0
-41	-106	46	70	0
-24	-103	36	70	0
-41	-102	33	70	0
-44	-103	37	70	0
-35	-101	31	70	0
-34	-101	31	70	0
-12	-105	44	70	0
-1	-102	34	70	0
-49	-107	48	70	0
42	-101	31	70	0
-43	-108	50	70	0
18	-103	37	70	0
-31	-108	50	70	0
-28	-101	31	70	0
-19	-101	31	70	0
-20	-102	35	70	0
13	-103	38	70	0
-44	-102	34	70	0
-25	-105	43	70	0
-49	-104	39	70	0
-26	-105	43	70	0
23	-101	32	70	0
5	-104	38	70	0
-46	-107	47	70	0
-42	-103	36	70	0
-17	-101	32	70	0
-22	-101	31	70	0
-17	-101	30	70	0
-44	-102	35	70	0
-13	-104	38	70	0
-26	-104	39	70	0
5	-103	37	70	0
-26	-104	40	70	0
-21	-101	32	70	0
4	-104	41	70	0
-9	-103	36	70	0
24	-103	36	70	0
-39	-105	43	70	0
-50	-108	51	70	0
12	-103	37	70	0
-19	-101	31	70	0
-50	-102	33	70	0
8	-102	34	70	0
-42	-109	53	70	0
-47	-105	42	70	0
-39	-104	41	70	0
-14	-104	40	70	0
7	-104	41	70	0
-21	-103	37	70	0
-43	-103	36	70	0
8	-104	40	70	0
-33	-105	42	70	0
18	-103	37	70	0
-44	-103	37	70	0
-43	-107	48	70	0
-1	-103	36	70	0
-43	-104	40	70	0
-30	-107	47	70	0
-46	-109	53	70	0
-23	-102	33	70	0
-7	-104	41	70	0
-38	-108	51	70	0
-29	-102	34	70	0
-49	-106	44	70	0
-26	-108	50	70	0
15	-102	34	70	0
-22	-106	46	70	0
-35	-104	40	70	0
-21	-103	37	70	0
-39	-101	31	70	0
-9	-102	35	70	0
-44	-102	34	70	0
-1	-102	33	70	0
-45	-108	52	70	0
-48	-101	30	70	0
-38	-101	31	70	0
-35	-105	41	70	0
-42	-107	47	70	0
-35	-107	48	70	0
-18	-103	36	70	0
-33	-101	31	70	0
4	-102	35	70	0
-1	-102	35	70	0
-4	-103	37	70	0
16	-101	31	70	0
-40	-104	39	70	0
-44	-103	38	70	0
-35	-107	48	70	0
-9	-104	39	70	0
8	-104	39	70	0
-36	-103	38	70	0
17	-102	35	70	0
2	-101	32	70	0
-40	-104	39	70	0
-43	-103	36	70	0
-27	-104	40	70	0
-3	-104	38	70	0
14	-104	38	70	0
7	-102	35	70	0
8	-103	38	70	0
-19	-101	31	70	0
27	-101	30	70	0
-4	-101	32	70	0
-35	-103	37	70	0
-21	-102	35	70	0
-4	-101	30	70	0
4	-103	38	70	0
-35	-104	41	70	0
3	-105	41	70	0
-37	-105	41	70	0
-46	-109	54	70	0
-30	-106	45	70	0
2	-103	37	70	0
-8	-102	34	70	0
-42	-101	32	70	0
-42	-101	31	70	0
-47	-103	37	70	0
-11	-101	32	70	0
